restaurant_id,name,normalized_name,normalized_address,source_names,source_record_ids
128724,Phở - Cơm Hằng - Nguyễn Đình Chiểu,phở - cơm hằng - nguyễn đình chiểu,"số 1 nguyễn đình chiểu, phường hai bà trưng, hà nội",befood|foody,128724
94161,Bánh Cuốn Nóng & Gà Ác Tần - Minh Khai,bánh cuốn nóng & gà ác tần - minh khai,"198 minh khai, phường tương mai , hà nội",befood|foody,94161
28837,Gà Tần Huyền Anh - Phở Xào & Cơm Rang - Quỳnh Mai,gà tần huyền anh - phở xào & cơm rang - quỳnh mai,"kiot 16a quỳnh mai, quỳnh mai, hai bà trưng, hà nội",befood|foody,28837
117760,OK Cơm Gà - Trương Định,ok cơm gà - trương định,"số 52 ngõ 129 trương định, phường tương mai, hà nội",befood|foody,117760
33188,Hải Dung - Cơm Rang & Phở Xào - Quỳnh Mai,hải dung - cơm rang & phở xào - quỳnh mai,"kiot 8 quỳnh mai, phường bạch mai, hồ chí minh",befood|foody,33188
33749,Phở Bò 288 - Phở Bò & Cơm Rang - Minh Khai,phở bò 288 - phở bò & cơm rang - minh khai,"288 minh khai, phường mai động, quận hoàng mai, hà nội",befood|foody,33749
22455,Phở Cuốn Hoa Lan - Trần Hưng Đạo,phở cuốn hoa lan - trần hưng đạo,"24 trần hưng đạo, phường phan chu trinh, quận hoàn kiếm, hà nội",befood|foody,22455
14976,Cơm Sườn Cay HiMC - Hà Kế Tấn,cơm sườn cay himc - hà kế tấn,"169a hà kế tấn, phường phương liệt, thanh xuân, hà nội, việt nam",befood|foody,14976
118507,"Bánh Cuốn, Bún Trộn Đức Anh - Trần Hữu Tước","bánh cuốn, bún trộn đức anh - trần hữu tước","1 trần hữu tước, phường đống đa, thành phố hà nội",befood|foody,118507
128321,"Cơm, Phở Xào & Miến Xào - Cù Chính Lan","cơm, phở xào & miến xào - cù chính lan","số 21 ngách 3/1 ngõ 3 cù chính lan, phường phương liệt, hà nội",befood|foody,128321
116156,Phở Vịt Quay & Bánh Cuốn Cao Bằng - Định Công,phở vịt quay & bánh cuốn cao bằng - định công,"14 ngõ 120 định công, phường phương liệt, hà nội",befood|foody,116156
41570,Bánh Cuốn Nóng Hương Thơm - Tràng Tiền,bánh cuốn nóng hương thơm - tràng tiền,"15 tràng tiền, tràng tiền, hoàn kiếm, hà nội",befood|foody,41570
20226,Phở Lưu - Phở Bò & Cơm Rang - Tam Trinh,phở lưu - phở bò & cơm rang - tam trinh,"185 tam trinh, phường mai động, quận hoàng mai, hà nội",befood|foody,20226
21224,Phở Cồ Gia Truyền - Phở Bò & Cơm Rang,phở cồ gia truyền - phở bò & cơm rang,"22 nguyễn ngọc nại, khương mai, thanh xuân, hà nội",befood|foody,21224
7240,"Cơm Gà, Mì Cay & Mì Trộn Bếp Nhà Cám - Tôn Đức Thắng","cơm gà, mì cay & mì trộn bếp nhà cám - tôn đức thắng","23 ngõ quan thổ 1, phố tôn đức thắng, phường văn miếu - quốc tử giám, hà nội",befood|foody,7240
20472,"Bánh Cuốn, Bún Chả & Gà Tần - Đền Lừ 2","bánh cuốn, bún chả & gà tần - đền lừ 2","20 lô 5 đền lừ 2, phường hoàng văn thụ, quận hoàng mai, hà nội",befood|foody,20472
21413,Phở Bò Hải Phòng - Phở Bò & Cơm Rang - Hoàng Mai,phở bò hải phòng - phở bò & cơm rang - hoàng mai,"55 ngõ 299 hoàng mai (đối diện 281 tam trinh), phường hoàng văn thụ, quận hoàng mai, hà nội",befood|foody,21413
86219,Phở Bò Thiên Trường - Bún Bò & Cơm Rang - Trương Định,phở bò thiên trường - bún bò & cơm rang - trương định,"565 trương định, p.hoàng liệt, hoàng mai, hà nội",befood|foody,86219
36034,Bảo An Quán - Bánh Cuốn Phủ Lý - Trương Định,bảo an quán - bánh cuốn phủ lý - trương định,"658 trương định, giáp bát, hai bà trưng, hà nội",befood|foody,36034
20129,Dũng Thủy - Phở & Cơm Rang - Tân Mai,dũng thủy - phở & cơm rang - tân mai,"760 h14 ngõ 147 tân mai, hoàng mai, hà nội",befood|foody,20129
16422,Phương Dung - Cơm Đảo Gà Rang & Chim Quay - Tống Duy Tân,phương dung - cơm đảo gà rang & chim quay - tống duy tân,"24 tống duy tân, phường hàng bông, quận hoàn kiếm, hà nội",befood|foody,16422
60874,Hoàng Văn - Cơm Rang & Phở Bò - Định Công,hoàng văn - cơm rang & phở bò - định công,"195 định công, phường định công, hoàng mai, hà nội",befood|foody,60874
13942,Phở Bò & Cơm Rang - Nguyễn Trãi,phở bò & cơm rang - nguyễn trãi,"28a ngõ 72 nguyễn trãi, thượng đình, thanh xuân, hà nội",befood|foody,13942
29659,Bánh Cuốn Phủ Lý - Dương Văn Bé,bánh cuốn phủ lý - dương văn bé,"135 dương văn bé, vĩnh tuy, hai bà trưng, hà nội",befood|foody,29659
35452,Út Béo - Bún Đậu Mẹt & Cơm - Ngõ Thái Thịnh 1,út béo - bún đậu mẹt & cơm - ngõ thái thịnh 1,"149 ngõ thái thịnh 1, thái thịnh, p. thịnh quang, đống đa, hà nội",befood|foody,35452
81993,Thành Tâm Quán - Phở & Cơm Rang - Định Công Hạ,thành tâm quán - phở & cơm rang - định công hạ,"22 ngõ 99 định công hạ, phường định công, quận hoàng mai, hà nội",befood|foody,81993
21980,H&A Quán - Bún Đậu & Nem Nướng - Vĩnh Tuy,h&a quán - bún đậu & nem nướng - vĩnh tuy,"kiot số 2b ngõ 124 vĩnh tuy, phường vĩnh tuy, quận hai bà trưng, hà nội",befood|foody,21980
114833,Cơm Ngon Xuân Trường - Giáp Nhị,cơm ngon xuân trường - giáp nhị,"số 55 ngõ 88 phố giáp nhị, phường yên sở, hà nội",befood|foody,114833
87272,"Thành Tâm Quán - Cơm Rang, Phở Bò & Bún Bò Huế - Định Công Thượng","thành tâm quán - cơm rang, phở bò & bún bò huế - định công thượng","153 định công thượng, p.định công, q. hoàng mai, hà nội",befood|foody,87272
115272,"He Na Quán - Bánh Cuốn, Bún Chả & Gà Tần - Núi Trúc","he na quán - bánh cuốn, bún chả & gà tần - núi trúc","100 ngõ núi trúc, phường giảng võ, hà nội",befood|foody,115272
130463,Thanh Hà Food - Phở Cuốn & Bún Trộn - Đại Từ,thanh hà food - phở cuốn & bún trộn - đại từ,"số nhà 93 ngõ 2 đại từ, phường định công, hà nội",befood|foody,130463
68548,Bánh Cuốn Nóng - Bún Chả & Mỳ Gà Tần - Chính Kinh,bánh cuốn nóng - bún chả & mỳ gà tần - chính kinh,"103 chính kinh, phường nhân chính, quận thanh xuân, hà nội",befood|foody,68548
135607,Bánh Cuốn & Bún Chả - Bếp Cô Hằng - Vĩnh Hưng,bánh cuốn & bún chả - bếp cô hằng - vĩnh hưng,"số 3 ngõ 259 vĩnh hưng, phường hoàng mai, hà nội",befood|foody,135607
80920,Cồ Cử Phở Bò - Cơm Rang - Kim Giang,cồ cử phở bò - cơm rang - kim giang,"312 kim giang, phường đại kim, quận hoàng mai, hà nội",befood|foody,80920
123914,Ling Ling Foody - Gà Rán & Mỳ Cay - Vĩnh Hưng,ling ling foody - gà rán & mỳ cay - vĩnh hưng,"85 vĩnh hưng, phường vĩnh hưng, hà nội",befood|foody,123914
81712,Nhà Hàng Văn Đô - Cơm Văn Phòng - Ngọc Khánh,nhà hàng văn đô - cơm văn phòng - ngọc khánh,"107b ngọc khánh, phường giảng võ, quận ba đình, hà nội",befood|foody,81712
119113,Phở Cuốn Ngũ Xã Hải Yến - Vũ Tông Phan,phở cuốn ngũ xã hải yến - vũ tông phan,"563 vũ tông phan, phường phương liệt, hà nội",befood|foody,119113
123573,"Minh Huy - Bánh Cuốn, Bún Chả & Bún Miến Ngan - Vũ Tông Phan","minh huy - bánh cuốn, bún chả & bún miến ngan - vũ tông phan","699 vũ tông phan, phường khương đình, hà nội",befood|foody,123573
8200,Phở bò - Cơm rang Duy Nhất - Huỳnh Thúc Kháng,phở bò - cơm rang duy nhất - huỳnh thúc kháng,"12a ng. 16 - p. huỳnh thúc kháng, láng hạ, ba đình, hà nội, việt nam",befood|foody,8200
78300,Bánh Cuốn Nóng & Bún Chả - Ngọc Hà,bánh cuốn nóng & bún chả - ngọc hà,"124 ngọc hà, phường ngọc hà, quận ba đình, hà nội",befood|foody,78300
20601,"Bánh Cuốn Nóng, Bún Chả & Gà Tần - 156 Kim Giang","bánh cuốn nóng, bún chả & gà tần - 156 kim giang","156 đường kim giang, phường định công, hà nội",befood|foody,20601
9568,"Bún Chả, Bánh Cuốn Nóng, Gà Tần - Ba Duy - Kim Giang","bún chả, bánh cuốn nóng, gà tần - ba duy - kim giang","32 kim giang, phường kim giang, quận thanh xuân, hà nội",befood|foody,9568
12952,KCC - Phở - Cơm Rang - Nguyên Hồng,kcc - phở - cơm rang - nguyên hồng,"105 d8 nguyên hồng, thành công, ba đình, hà nội",befood|foody,12952
69613,Bánh Cuốn Nóng Gia Truyền - Đội Cấn,bánh cuốn nóng gia truyền - đội cấn,"195b đội cấn, phường đội cấn, quận ba đình, hà nội",befood|foody,69613
14120,KCC - Phở & Cơm Gà Xối Mắm - Đội Cấn,kcc - phở & cơm gà xối mắm - đội cấn,"204 đội cấn, đội cấn, ba đình, hà nội",befood|foody,14120
2282,Phở Bò Cơm Rang Nhân Hòa - Nguyễn Huy Tưởng,phở bò cơm rang nhân hòa - nguyễn huy tưởng,"86 nguyễn huy tưởng, phường thanh xuân, thành phố hà nội",befood|foody,2282
76776,Bánh Cuốn Nóng & Bún Chả - Nguyễn Ngọc Vũ,bánh cuốn nóng & bún chả - nguyễn ngọc vũ,"89a ngõ 189 nguyễn ngọc vũ, phường trung hòa, quận cầu giấy, hà nội",befood|foody,76776
102812,Bánh Cuốn Bà Hy - Khu Đô Thị Bắc Linh Đàm,bánh cuốn bà hy - khu đô thị bắc linh đàm,"ki ốt 12, ct3 khu đô thị bắc linh đàm, phường đại kim, quận hoàng mai, hà nội",befood|foody,102812
130643,Guu Chicken - Cơm Gà & Gà Rán - Ngõ Tự Do,guu chicken - cơm gà & gà rán - ngõ tự do,"107a y9 ngõ tự do, phường bạch mai, hà nội",befood|foody,130643
8432,Quán Cơm 78 - Ngõ Tự Do,quán cơm 78 - ngõ tự do,"78 ngã tự do, trần đại nghĩa, phường đồng tâm, hai bà trưng, hà nội",befood|foody,8432
106675,Cơm Đảo Làng Mai - Chợ Khương Thượng,cơm đảo làng mai - chợ khương thượng,"kiot 25 chợ a12 khương thượng, phường kim liên, quận đống đa, hà nội",befood|foody,106675
102294,Bếp Cô Thảo - Cơm Văn Phòng Tự Chọn - Lò Đúc,bếp cô thảo - cơm văn phòng tự chọn - lò đúc,"8 ngõ 108 lò đúc, phường đống mác, quận hai bà trưng, hà nội",befood|foody,102294
15897,Vịt 29 - 29 Food - Cơm Phở -Nguyễn Thượng Hiền,vịt 29 - 29 food - cơm phở -nguyễn thượng hiền,"29 nguyễn thượng hiền, nguyễn du, hai bà trưng, hà nội",befood|foody,15897
130509,Guu Chicken - Cơm Gà & Gà Rán - Tam Khương,guu chicken - cơm gà & gà rán - tam khương,"số 3 tam khương, phường kim liên, hà nội",befood|foody,130509
135845,"Gỏi Nhà Kem - Gỏi Cuốn, Cơm Trộn & Bún Trộn - Thổ Quan","gỏi nhà kem - gỏi cuốn, cơm trộn & bún trộn - thổ quan","số 123 thổ quan, phường văn miếu - quốc tử giám, hà nội",befood|foody,135845
39262,Cơm Gà B&B - Chùa Bộc,cơm gà b&b - chùa bộc,"9 ngõ 95 chùa bộc, đống đa, hà nội",befood|foody,39262
17700,Bún Chả Xưa - Lĩnh Nam,bún chả xưa - lĩnh nam,"9 ngõ 13 lĩnh nam, phường mai động, quận hoàng mai, hà nội",befood|foody,17700
98870,Tứ Quý - Phở Bò & Cơm Rang - Trịnh Đình Cửu,tứ quý - phở bò & cơm rang - trịnh đình cửu,"số 6 ngõ 148 trịnh đình cửu , phường định công, hà nội",befood|foody,98870
55835,Tiệm Cơm Gà - Trung Liệt,tiệm cơm gà - trung liệt,"98 trung liệt, trung liệt đống đa, hà nội",befood|foody,55835
88436,Bún Chả Phúc Tha - Hoàng Mai,bún chả phúc tha - hoàng mai,"299/62 hoàng mai, phường tương mai, hà nội",befood|foody,88436
69293,Cơm & Phở Hương Lan - Nguyễn Thái Học,cơm & phở hương lan - nguyễn thái học,"số 1 ngõ nguyễn thái học, phường cát linh, đống đa, hà nội",befood|foody,69293
10307,Cơm Gà Xối Mắm Còn - Dương Văn Bé,cơm gà xối mắm còn - dương văn bé,"202 dương văn bé, p. vĩnh tuy, q. hai bà trưng, hà nội",befood|foody,10307
49400,Tùng Linh Quán - Bún Chả & Bánh Cuốn Nóng - Bùi Xương Trạch,tùng linh quán - bún chả & bánh cuốn nóng - bùi xương trạch,"289 bùi xương trạch, phường khương đình, thanh xuân, hà nội",befood|foody,49400
88782,Guu Chicken - Cơm Gà & Gà Rán - Khương Hạ,guu chicken - cơm gà & gà rán - khương hạ,"số 63 ngách 78 ngõ 29 khương hạ, phường khương đình, thanh xuân, hà nội",befood|foody,88782
61570,Bún Chả Quý Anh - Vĩnh Hưng,bún chả quý anh - vĩnh hưng,"423 vĩnh hưng, phường thanh trì, hoàng mai, hà nội",befood|foody,61570
123151,"FoodHub - Mỳ Quảng, Cơm Gà Roti - Hoàng Ngọc Phách","foodhub - mỳ quảng, cơm gà roti - hoàng ngọc phách","số 110 tập thể c3 hoàng ngọc phách, phường đống đa, hà nội",befood|foody,123151
89400,"Bún Chả Linh Anh - Bún Ngan Mọc, Bánh Giò Nóng & Trứng Vịt Lộn - Khương Đình","bún chả linh anh - bún ngan mọc, bánh giò nóng & trứng vịt lộn - khương đình","số 7 ngõ 236 khương đình, phường hạ đình, quận thanh xuân, hà nội",befood|foody,89400
89681,Phở Cuốn Diệu Minh - La Thành,phở cuốn diệu minh - la thành,"4 ngách 678/11 la thành, phường giảng võ, quận ba đình, hà nội",befood|foody,89681
25452,"Bánh Cuốn Nóng, Bún Đậu Mẹt & Bún Chả - Vĩnh Hưng","bánh cuốn nóng, bún đậu mẹt & bún chả - vĩnh hưng","218 vĩnh hưng, phường vĩnh hưng, hoàng mai, hà nội",befood|foody,25452
2267,Gỏi Cuốn - Nem Nướng Hương Béo - Bùi Xương Trạch,gỏi cuốn - nem nướng hương béo - bùi xương trạch,"25/86/358 bùi xương trạch, phường khương đình, quận thanh xuân, hà nội",befood|foody,2267
67492,Quán Huyền Béo - Bún Trộn & Cơm Gà Chiên Mắm - Ngõ Trại Cá,quán huyền béo - bún trộn & cơm gà chiên mắm - ngõ trại cá,"67 ngõ trại cá, phường trương định, quận hai bà trưng, hà nội",befood|foody,67492
126555,"Quán 92 - Cơm Rang, Phở & Mỳ Chua Cay - Trần Quốc Toản","quán 92 - cơm rang, phở & mỳ chua cay - trần quốc toản","47 trần quốc toản, phường cửa nam, hà nội",befood|foody,126555
18796,Phở Dung - Bún Chả - Tân Mai,phở dung - bún chả - tân mai,"652h5 tân mai, phường tương mai, quận hoàng mai, hà nội",befood|foody,18796
134250,Bếp Mẹ Bơ - Mỳ Cay Koreno 7 Cấp Độ & Phở Cuốn - Trung Liệt,bếp mẹ bơ - mỳ cay koreno 7 cấp độ & phở cuốn - trung liệt,"số 6 ngách 2 ngõ 98 trung liệt, phường đống đa, hà nội",befood|foody,134250
134680,Mì Indomie & Phở Cuốn - Lĩnh Nam,mì indomie & phở cuốn - lĩnh nam,"4/29 ngách 60 ngõ 107 lĩnh nam, phường vĩnh hưng, hà nội",befood|foody,134680
36147,Phở Vịt Quay Tứ Xuyên - Láng Hạ,phở vịt quay tứ xuyên - láng hạ,"3a ngõ 87 láng hạ, phường thành công, ba đình, hà nội",befood|foody,36147
40014,Bún Chả - Bánh Cuốn Chả Nướng - Bùi Xương Trạch,bún chả - bánh cuốn chả nướng - bùi xương trạch,,befood|foody,40014
54641,Bún Đậu Chị Hai - Nem Nướng Nha Trang & Phở Cuốn - Nguyễn Ngọc Vũ,bún đậu chị hai - nem nướng nha trang & phở cuốn - nguyễn ngọc vũ,"số 21 ngõ 139 nguyễn ngọc vũ, phường yên hòa, hà nội",befood|foody,54641
37364,Quán Ngon - Gà Tần & Bánh Cuốn Nóng - Tạ Quang Bửu,quán ngon - gà tần & bánh cuốn nóng - tạ quang bửu,"số 3a1 tạ quang bửu, bách khoa, hai bà trưng, hà nội, hai bà trưng, hà nội",befood|foody,37364
6930,Kombo cơm niêu Singapore - 46 Trần Đại Nghĩa,kombo cơm niêu singapore - 46 trần đại nghĩa,"46 trần đại nghĩa, p. đồng tâm, q. hai bà trưng, hà nội",befood|foody,6930
42458,Cơm Gà Xối Mỡ Mai Phương - Lê Thanh Nghị,cơm gà xối mỡ mai phương - lê thanh nghị,"62 phố lê thanh nghị, bách khoa, hai bà trưng, hà nội, việt nam",befood|foody,42458
56543,Gà Rán KFC - Lê Thanh Nghị,gà rán kfc - lê thanh nghị,"170 lê thanh nghị, phường đồng tâm, quận hai bà trưng, hà nội",befood|foody,56543
62951,Bún Cá Măng Cay & Bún Hải Sản Cát Bà - Lê Thanh Nghị,bún cá măng cay & bún hải sản cát bà - lê thanh nghị,"số 200 lê thanh nghị, bạch mai, hà nội",befood|foody,62951
31215,Cơm Rang Hải Sơn - Giải Phóng,cơm rang hải sơn - giải phóng,"32 ngõ 75 giải phóng, phường bạch mai, hà nội",befood|foody,31215
67574,Bánh Tráng Mập - Lê Thanh Nghị,bánh tráng mập - lê thanh nghị,"40 thanh nghị, phường bạch mai, hà nội",befood|foody,67574
7160,Bún Chả Mẹ Nga - Vân Hồ 3,bún chả mẹ nga - vân hồ 3,"90a vân hồ 3, hai bà trưng, hà nội",befood|foody,7160
117526,Bếp Bé Bếu - Cơm & Bánh Mì Nướng Trung Hoa - Lê Thanh Nghị,bếp bé bếu - cơm & bánh mì nướng trung hoa - lê thanh nghị,"40 lê thanh nghị, phường bạch mai, hà nội",befood|foody,117526
8919,Cơm Sạch Mẹ Shin - Tô Hoàng,cơm sạch mẹ shin - tô hoàng,"sn 50 ngõ tô hoàng, phường cầu dền, quận hai bà trưng, hà nội",befood|foody,8919
123211,Phạm Gia Food - Cơm Tấm & Lẩu Ly - Trần Đại Nghĩa,phạm gia food - cơm tấm & lẩu ly - trần đại nghĩa,"số 1 ngõ 183 trần đại nghĩa, phường bạch mai, hà nội",befood|foody,123211
50258,Tiến Lan - Bún Chả - Đình Đại,tiến lan - bún chả - đình đại,"số 4 ngõ đình đại, bạch mai, hai bà trưng, hà nội",befood|foody,50258
111026,Cơm Ngon Hà Nội - Bà Triệu,cơm ngon hà nội - bà triệu,"203 bà triệu, phường lê đại hành, quận hai bà trưng, hà nội",befood|foody,111026
27416,Bún Chả Minh Béo - Vân Hồ,bún chả minh béo - vân hồ,"33/65 vân hồ 3, lê đại hành, hai bà trưng , hà nội",befood|foody,27416
136086,Cơm Gà Rán Đài Loan - OMEGA - Tạ Quang Bửu,cơm gà rán đài loan - omega - tạ quang bửu,"107 k2 ngõ 48 tạ quang bửu, phường bạch mai, thành phố hà nội",befood|foody,136086
117708,Cơm Gà Cô Tấm - Tạ Quang Bửu,cơm gà cô tấm - tạ quang bửu,"101k3 ngõ 48 tạ quang bửu, phường bạch mai, hà nội",befood|foody,117708
118277,Phở Gà Đặc Biệt A Ỉn - Giải Phóng,phở gà đặc biệt a ỉn - giải phóng,"169 giải phóng, phường bạch mai, hà nội",befood|foody,118277
73491,U Lìu - Bún Bò Nam Bộ & Các Món Cuốn - Vân Hồ 2,u lìu - bún bò nam bộ & các món cuốn - vân hồ 2,"30 ngõ 55 vân hồ 2, phường lê đại hành, quận hai bà trưng, hà nội",befood|foody,73491
8805,Gà Rán Texas Chicken - Bạch Mai,gà rán texas chicken - bạch mai,"331 phố bạch mai, phường bạch mai, quận hai bà trưng, tp.hà nội",befood|foody,8805
81353,Cơm Tấm Xưa - Phong Vị Sài Thành - Lê Đại Hành,cơm tấm xưa - phong vị sài thành - lê đại hành,"7 lê đại hành, phường lê đại hành, quận hai bà trưng, hà nội",befood|foody,81353
77167,Mỳ Gà Tần & Bún Chả - Khu Tập Thể Kinh Tế Quốc Dân,mỳ gà tần & bún chả - khu tập thể kinh tế quốc dân,"p6 nhà 8 đường ngõ tự do, khu tập thể kinh tế quốc dân, phường đồng tâm, quận hai bà trưng, hà nội",befood|foody,77167
32462,Phở Liên - Phở Gà & Phở Trộn - Bạch Mai,phở liên - phở gà & phở trộn - bạch mai,"19 ngõ 295 bạch mai, phường bạch mai, hà nội",befood|foody,32462
77657,BBQ Chicken - Gà Rán Hàn Quốc - Bà Triệu,bbq chicken - gà rán hàn quốc - bà triệu,"316 bà triệu, phường lê đại hành, quận hai bà trưng, hà nội",befood|foody,77657
23407,Phở Bò 33 - Lê Đại Hành,phở bò 33 - lê đại hành,"33 lê đại hành,p.lê đại hành, q.hai bà trưng, hà nội",befood|foody,23407
15964,Quán Rôm - Bánh Tráng Cuốn Thịt Heo - Thái Phiên,quán rôm - bánh tráng cuốn thịt heo - thái phiên,"33 thái phiên, phường lê đại hành, quận hai bà trưng, hà nội",befood|foody,15964
13998,Quán Thiên Đức - Tự Do,quán thiên đức - tự do,"phòng 11, nhà 8, ngách 96, ⁠ngõ tự do, trương định, hai bà trưng, hà nội",befood|foody,13998
133949,Cơm Rang Khói - Võ Thị Sáu,cơm rang khói - võ thị sáu,"91t võ thị sáu, phường hai bà trưng, hà nội",befood|foody,133949
9606,Cơm Ngon Quang Thắng,cơm ngon quang thắng,"108y9 ngõ tự do, phường đồng tâm, quận hai bà trưng, hà nội",befood|foody,9606
7635,Happy Food Cơm Gà Ba Vì,happy food cơm gà ba vì,"57 ngõ 41 phố vọng, đồng tâm, hai bà trưng, hà nội",befood|foody,7635
14318,Thuỷ Hùng Cơm Gà Ba Vì - Phố Vọng,thuỷ hùng cơm gà ba vì - phố vọng,"57 ngõ 41 phố vọng, đồng tâm, hai bà trưng, hà nội, việt nam",befood|foody,14318
111742,Fami Cháo - Cháo Dinh Dưỡng Cao Cấp - 404 Bạch Mai,fami cháo - cháo dinh dưỡng cao cấp - 404 bạch mai,"404 bạch mai, p.bạch mai, q.hai bà trưng, hà nội",befood|foody,111742
22847,Cơm Ngon 67 - Bạch Mai,cơm ngon 67 - bạch mai,"67 ngõ 295 phố bạch mai, bạch mai, hai bà trưng, hà nội",befood|foody,22847
80180,"Quyên Phở Gà - Phở, Mì & Miến Trộn - Phố Vọng","quyên phở gà - phở, mì & miến trộn - phố vọng","52 phố vọng, phường phương mai, quận đống đa, hà nội",befood|foody,80180
15387,BBQ Cơm Sườn Phố Cổ - Trần Đại Nghĩa,bbq cơm sườn phố cổ - trần đại nghĩa,"241 trần đại nghĩa, p. đồng tâm, hai bà trưng, hà nội",befood|foody,15387
128678,Quán Cô Ba - Cơm Tấm - Phố Vọng,quán cô ba - cơm tấm - phố vọng,"66 phố vọng, phường hai bà trưng, hà nội",befood|foody,128678
7207,Cơm Tấm Anh Ba Sài Gòn - Ngõ Tự Do,cơm tấm anh ba sài gòn - ngõ tự do,"57 ngõ tự do, phường bạch mai, hà nội",befood|foody,7207
32487,Phở Gà Ngon 69 - Ngõ Tự Do,phở gà ngon 69 - ngõ tự do,"60 ngõ tự do, đồng tâm, hai bà trưng, hà nội",befood|foody,32487
11305,Quán Cơm 76,quán cơm 76,"76 ngõ tự do, phường đồng tâm, quận hai bà trưng, hà nội",befood|foody,11305
133169,Gà Rán Dakgalbi - Trần Đại Nghĩa,gà rán dakgalbi - trần đại nghĩa,"259 phố trần đại nghĩa, phường bạch mai, hà nội",befood|foody,133169
13003,Lotteria - Bạch Mai,lotteria - bạch mai,"437 bạch mai, trương định, hai bà trưng, hà nội",befood|foody,13003
31548,Han Chicken - Gà Rán Hàn Quốc - Bùi Ngọc Dương,han chicken - gà rán hàn quốc - bùi ngọc dương,"36 ngõ 8 bùi ngọc dương, bạch mai, hai bà trưng, hà nội",befood|foody,31548
111500,Tiệm Gà A Bệu - Trần Khát Chân,tiệm gà a bệu - trần khát chân,"435 trần khát chân, phường thanh nhàn, quận hai bà trưng, hà nội",befood|foody,111500
29781,Chú Tiểu - Bánh Mì Nướng Sốt & Muối Ớt - Ngõ Tự Do,chú tiểu - bánh mì nướng sốt & muối ớt - ngõ tự do,"43 ngõ tự do, đồng tâm, hai bà trưng, hà nội, việt nam",befood|foody,29781
76300,Phở Gà & Thịt Xiên - Bùi Ngọc Dương,phở gà & thịt xiên - bùi ngọc dương,"64 ngõ 8 bùi ngọc dương, phường bạch mai, hai bà trưng, hà nội",befood|foody,76300
119112,Cơm Rang A Lú - Lương Định Của,cơm rang a lú - lương định của,"28 ngách 9/14 lương định của, phường kim liên, hà nội",befood|foody,119112
114792,Bún Chả - Nem Rán Long Vũ - Bạch Mai,bún chả - nem rán long vũ - bạch mai,"468 bạch mai, phường bạch mai, hà nội",befood|foody,114792
17056,Chảnh Quán - Gỏi Cuốn Mắm Nêm - Phố Vọng,chảnh quán - gỏi cuốn mắm nêm - phố vọng,"181 phố vọng, phường đồng tâm, quận hai bà trưng, hà nội",befood|foody,17056
